player_name,team,position,appearances,starts,substitute_appearances,goals,assists,minutes_played,passes,pass_accuracy,key_passes,shots,shots_on_target,tackles,interceptions,dribbles,duels_won,fouls_won,yellow_cards,red_cards
Nicolas Seiwald,Austria,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Patrick Pentz,Austria,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Patrick Wimmer,Austria,Midfielder,2,0,3,0,0,,,,,,,,,,,,0,0
Paul Wanner,Austria,Midfielder,3,1,2,0,0,,,,,,,,,,,,0,0
Philipp Lienhart,Austria,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Phillipp Mwene,Austria,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Romano Schmid,Austria,Midfielder,3,3,0,1,0,,,,,,,,,,,,0,0
Sasa Kalajdzic,Austria,Forward,2,1,2,1,0,,,,,,,,,,,,0,0
Stefan Posch,Austria,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Xaver Schlager,Austria,Midfielder,3,3,0,0,1,,,,,,,,,,,,0,0
Alexis Saelemaekers,Belgium,Midfielder,2,1,2,1,0,,,,,,,,,,,,0,0
Amadou Onana,Belgium,Midfielder,2,1,2,0,0,,,,,,,,,,,,0,0
Arthur Theate,Belgium,Defender,2,1,2,0,0,,,,,,,,,,,,0,0
Axel Witsel,Belgium,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Brandon Mechele,Belgium,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Charles de Ketelaere,Belgium,Midfielder,2,2,1,0,0,,,,,,,,,,,,0,0
Diego Moreira,Belgium,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Dodi Lukebakio,Belgium,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Hans Vanaken,Belgium,Midfielder,3,1,2,0,1,,,,,,,,,,,,0,0
Jeremy Doku,Belgium,Forward,2,2,0,0,0,,,,,,,,,,,,0,0
Joaquin Seys,Belgium,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Kevin De Bruyne,Belgium,Midfielder,3,3,0,1,0,,,,,,,,,,,,0,0
Koni De Winter,Belgium,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Leandro Trossard,Belgium,Forward,3,3,0,2,0,,,,,,,,,,,,0,0
