date,home_team,away_team,neutral,tournament,home_win_rate,home_draw_rate,home_avg_goals_scored,home_avg_goals_conceded,away_win_rate,away_draw_rate,away_avg_goals_scored,away_avg_goals_conceded,elo_diff,home_elo,away_elo,result,h2h_home_win_rate,h2h_avg_goal_diff
1926-10-28,Bolivia,Uruguay,True,Copa América,0.0,0.0,0.6666666666666666,6.0,0.8,0.1,2.0,0.4,-466,1500,1966,away_win,0.5,0.0
1926-10-31,Chile,Argentina,False,Copa América,0.1,0.1,1.1,2.6,0.6,0.3,2.6,0.6,-489,1500,1989,draw,0.0,-2.5
1926-11-01,Paraguay,Uruguay,True,Copa América,0.3,0.1,1.5,2.6,0.8,0.1,2.5,0.4,-212,1754,1966,away_win,0.5,-0.5
1926-11-03,Chile,Paraguay,False,Copa América,0.1,0.2,1.1,2.5,0.2,0.1,1.5,3.2,-254,1500,1754,home_win,0.5,0.0
1927-10-30,Argentina,Bolivia,True,Copa América,0.6,0.3,2.7,0.7,0.0,0.0,0.5,6.0,456,1956,1500,home_win,0.5,0.0
1927-11-01,Peru,Uruguay,False,Copa América,0.5,0.22,1.5,1.5,0.9,0.1,3.1,0.4,-532,1500,2032,away_win,0.5,0.0
1927-11-06,Bolivia,Uruguay,True,Copa América,0.0,0.0,0.6,6.2,0.9,0.1,3.3,0.4,-532,1500,2032,away_win,0.5,0.0
1927-11-13,Peru,Bolivia,False,Copa América,0.0,0.0,0.0,4.0,0.0,0.0,0.5,6.666666666666667,0,1500,1500,home_win,0.5,0.0
1927-11-20,Argentina,Uruguay,True,Copa América,0.6,0.3,3.2,0.8,0.9,0.1,4.0,0.3,-76,1956,2032,home_win,0.1111111111111111,-0.6666666666666666
1927-11-27,Peru,Argentina,False,Copa América,0.5,0.0,1.5,3.0,0.7,0.2,3.5,1.0,-456,1500,1956,away_win,0.5,0.0
1929-11-01,Paraguay,Uruguay,True,Copa América,0.2,0.0,1.6,3.7,0.8,0.1,4.0,0.6,-372,1681,2053,home_win,0.4,-1.4
1929-11-03,Argentina,Peru,False,Copa América,0.7,0.2,3.8,1.1,0.3333333333333333,0.0,1.3333333333333333,3.6666666666666665,547,2047,1500,home_win,0.5,0.0
1929-11-10,Argentina,Paraguay,False,Copa América,0.7,0.2,3.7,1.0,0.3,0.0,1.8,3.4,366,2047,1681,home_win,0.8571428571428571,2.5714285714285716
1929-11-11,Peru,Uruguay,True,Copa América,0.25,0.0,1.0,3.5,0.7,0.1,3.5,0.9,-553,1500,2053,away_win,0.5,0.0
1929-11-16,Paraguay,Peru,True,Copa América,0.2,0.0,1.6,3.7,0.2,0.0,1.0,3.6,181,1681,1500,home_win,0.5,0.0
1929-11-17,Argentina,Uruguay,False,Copa América,0.7,0.2,3.8,1.0,0.7,0.1,3.6,0.9,-6,2047,2053,home_win,0.2,-0.5
1930-07-13,Belgium,USA,True,FIFA World Cup,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,-24,1648,1672,away_win,0.5,0.0
1930-07-13,France,Mexico,True,FIFA World Cup,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,-66,1547,1613,home_win,0.5,0.0
