match_id,utc_date,status,matchday,stage,group,last_updated,home_team_id,home_team,home_team_short,home_team_tla,home_team_crest,away_team_id,away_team,away_team_short,away_team_tla,away_team_crest,winner,duration,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time
537367,2026-06-27 03:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_G,2026-06-20 15:20:13+00:00,783.0,New Zealand,New Zealand,NZL,https://crests.football-data.org/783.svg,805.0,Belgium,Belgium,BEL,https://crests.football-data.org/805.svg,,REGULAR,,,,
537368,2026-06-27 03:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_G,2026-06-20 15:20:13+00:00,825.0,Egypt,Egypt,EGY,https://crests.football-data.org/825.svg,840.0,Iran,Iran,IRN,https://crests.football-data.org/iran.svg,,REGULAR,,,,
537413,2026-06-27 21:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_L,2026-06-20 15:20:13+00:00,1836.0,Panama,Panama,PAN,https://crests.football-data.org/panama.svg,770.0,England,England,ENG,https://crests.football-data.org/770.svg,,REGULAR,,,,
537414,2026-06-27 21:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_L,2026-06-20 15:20:13+00:00,799.0,Croatia,Croatia,CRO,https://crests.football-data.org/799.svg,763.0,Ghana,Ghana,GHA,https://crests.football-data.org/ghana.svg,,REGULAR,,,,
537407,2026-06-27 23:30:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_K,2026-06-20 15:20:13+00:00,818.0,Colombia,Colombia,COL,https://crests.football-data.org/818.svg,765.0,Portugal,Portugal,POR,https://crests.football-data.org/765.svg,,REGULAR,,,,
537408,2026-06-27 23:30:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_K,2026-06-20 15:20:13+00:00,1934.0,Congo DR,Congo DR,COD,https://crests.football-data.org/congo_dr.svg,8070.0,Uzbekistan,Uzbekistan,UZB,https://crests.football-data.org/8070.png,,REGULAR,,,,
537401,2026-06-28 02:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_J,2026-06-20 15:20:13+00:00,8049.0,Jordan,Jordan,JOR,https://crests.football-data.org/8049.png,762.0,Argentina,Argentina,ARG,https://crests.football-data.org/762.png,,REGULAR,,,,
537402,2026-06-28 02:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_J,2026-06-20 15:20:13+00:00,778.0,Algeria,Algeria,ALG,https://crests.football-data.org/algeria.svg,816.0,Austria,Austria,AUT,https://crests.football-data.org/816.svg,,REGULAR,,,,
537417,2026-06-28 19:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537423,2026-06-29 17:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537415,2026-06-29 20:30:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537418,2026-06-30 01:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537424,2026-06-30 17:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537416,2026-06-30 21:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537425,2026-07-01 01:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537426,2026-07-01 16:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537422,2026-07-01 20:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537421,2026-07-02 00:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537420,2026-07-02 19:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537419,2026-07-02 23:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537429,2026-07-03 03:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537428,2026-07-03 18:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537427,2026-07-03 22:00:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537430,2026-07-04 01:30:00+00:00,TIMED,,LAST_32,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537376,2026-07-04 17:00:00+00:00,TIMED,,LAST_16,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537375,2026-07-04 21:00:00+00:00,TIMED,,LAST_16,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537377,2026-07-05 20:00:00+00:00,TIMED,,LAST_16,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537378,2026-07-06 00:00:00+00:00,TIMED,,LAST_16,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537379,2026-07-06 19:00:00+00:00,TIMED,,LAST_16,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537380,2026-07-07 00:00:00+00:00,TIMED,,LAST_16,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537381,2026-07-07 16:00:00+00:00,TIMED,,LAST_16,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537382,2026-07-07 20:00:00+00:00,TIMED,,LAST_16,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537383,2026-07-09 20:00:00+00:00,TIMED,,QUARTER_FINALS,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537384,2026-07-10 19:00:00+00:00,TIMED,,QUARTER_FINALS,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537385,2026-07-11 21:00:00+00:00,TIMED,,QUARTER_FINALS,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537386,2026-07-12 01:00:00+00:00,TIMED,,QUARTER_FINALS,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537387,2026-07-14 19:00:00+00:00,TIMED,,SEMI_FINALS,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537388,2026-07-15 19:00:00+00:00,TIMED,,SEMI_FINALS,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537389,2026-07-18 21:00:00+00:00,TIMED,,THIRD_PLACE,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
537390,2026-07-19 19:00:00+00:00,TIMED,,FINAL,,2026-06-20 15:20:13+00:00,,,,,,,,,,,,REGULAR,,,,
