player_name,team,position,age,nationality,club,photo_url
Laros Duarte,Cape Verde,Midfielder,,,,
Logan Costa,Cape Verde,Defender,,,,
Marcio Rosa,Cape Verde,Goalkeeper,,,,
Nuno Da Costa,Cape Verde,Forward,,,,
Pico,Cape Verde,Defender,,,,
Ryan Mendes,Cape Verde,Forward,,,,
Sidney Cabral,Cape Verde,Defender,,,,
Steven Moreira,Cape Verde,Defender,,,,
Stopira,Cape Verde,Defender,,,,
Telmo Arcanjo,Cape Verde,Midfielder,,,,
Wagner Pina,Cape Verde,Defender,,,,
Willy Semedo,Cape Verde,Forward,,,,
Yannick Semedo,Cape Verde,Midfielder,,,,
Alvaro Montero,Colombia,Goalkeeper,,,,
Andres Gomez,Colombia,Midfielder,,,,
Camilo Vargas,Colombia,Goalkeeper,,,,
Cucho Hernandez,Colombia,Forward,,,,
Daniel Munoz,Colombia,Defender,,,,
David Ospina,Colombia,Goalkeeper,,,,
Davinson Sanchez,Colombia,Defender,,,,
Deiver Machado,Colombia,Defender,,,,
Gustavo Puerta,Colombia,Midfielder,,,,
James Rodriguez,Colombia,Midfielder,,,,
Jaminton Leandro Campaz,Colombia,Midfielder,,,,
Jefferson Lerma,Colombia,Midfielder,,,,
Jhon Arias,Colombia,Midfielder,,,,
Jhon Cordoba,Colombia,Forward,,,,
Jhon Lucumi,Colombia,Defender,,,,
Johan Mojica,Colombia,Defender,,,,
Jorge Carrascal,Colombia,Midfielder,,,,
Juan Portilla,Colombia,Midfielder,,,,
Juan Quintero,Colombia,Midfielder,,,,
Kevin Castano,Colombia,Midfielder,,,,
Luis Diaz,Colombia,Forward,,,,
Luis Suarez,Colombia,Forward,,,,
Richard Rios,Colombia,Midfielder,,,,
Santiago Arias,Colombia,Midfielder,,,,
Willer Ditta,Colombia,Defender,,,,
Yerry Mina,Colombia,Defender,,,,
Andrej Kramaric,Croatia,Forward,,,,
Ante Budimir,Croatia,Forward,,,,
Dominik Kotarski,Croatia,Goalkeeper,,,,
Dominik Livakovic,Croatia,Goalkeeper,,,,
Duje Caleta-Car,Croatia,Defender,,,,
Igor Matanovic,Croatia,Midfielder,,,,
Ivan Perisic,Croatia,Midfielder,,,,
Ivor Pandur,Croatia,Goalkeeper,,,,
Joako Gvardiol,Croatia,Defender,,,,
Josip Stanisic,Croatia,Defender,,,,
Josip Sutalo,Croatia,Defender,,,,
Kristijan Jakic,Croatia,Midfielder,,,,
Luka Modric,Croatia,Midfielder,,,,
Luka Sucic,Croatia,Midfielder,,,,
Luka Vuskovic,Croatia,Defender,,,,
Marco Pasalic,Croatia,Midfielder,,,,
Marin Pongracic,Croatia,Defender,,,,
Mario Pasalic,Croatia,Midfielder,,,,
Martin Baturina,Croatia,Midfielder,,,,
Martin Erlic,Croatia,Defender,,,,
Mateo Kovacic,Croatia,Midfielder,,,,
Nikola Moro,Croatia,Midfielder,,,,
Nikola Vlasic,Croatia,Midfielder,,,,
Petar Musa,Croatia,Forward,,,,
Petar Sucic,Croatia,Midfielder,,,,
Toni Fruk,Croatia,Midfielder,,,,
Ar'Jany Martha,Curaçao,Midfielder,,,,
Armando Obispo,Curaçao,Defender,,,,
Brandley Kuwas,Curaçao,Midfielder,,,,
Deveron Fonville,Curaçao,Defender,,,,
Eloy Room,Curaçao,Goalkeeper,,,,
Gervane Kastaneer,Curaçao,Forward,,,,
Godfried Roemeratoe,Curaçao,Midfielder,,,,
Jearl Margaritha,Curaçao,Forward,,,,
Jeremy Antonisse,Curaçao,Forward,,,,
Joshua Brenet,Curaçao,Defender,,,,
Juninho Bacuna,Curaçao,Forward,,,,
Jurgen Locadia,Curaçao,Forward,,,,
Jurien Gaari,Curaçao,Defender,,,,
Kenji Gorre,Curaçao,Midfielder,,,,
Kevin Felida,Curaçao,Midfielder,,,,
Leandro Bacuna,Curaçao,Midfielder,,,,
Livano Comenencia,Curaçao,Midfielder,,,,
Riechedly Bazoer,Curaçao,Defender,,,,
Roshon van Eijma,Curaçao,Defender,,,,
Sherel Floranus,Curaçao,Defender,,,,
Shurandy Sambo,Curaçao,Defender,,,,
Sonja Hansen,Curaçao,Midfielder,,,,
Tahith Chong,Curaçao,Forward,,,,
Tijjani Noslin,Curaçao,Midfielder,,,,
Trevor Doornbusch,Curaçao,Goalkeeper,,,,
Tyrick Bodak,Curaçao,Goalkeeper,,,,
Adam Hlozek,Czechia,Forward,,,,
Alekandr Sojka,Czechia,Midfielder,,,,
David Doudera,Czechia,Defender,,,,
David Zima,Czechia,Defender,,,,
Denis Visinsky,Czechia,Midfielder,,,,
Hugo Sochurek,Czechia,Midfielder,,,,
Jan Kuchta,Czechia,Forward,,,,
Jaromir Zmrhal,Czechia,Midfielder,,,,
Jaroslav Zeleny,Czechia,Defender,,,,
Jindrich Stanek,Czechia,Goalkeeper,,,,
Ladislav Krejci II,Czechia,Midfielder,,,,
Lukas Cerv,Czechia,Midfielder,,,,
Lukas Hornicek,Czechia,Goalkeeper,,,,
Lukas Provod,Czechia,Midfielder,,,,
Matej Kovar,Czechia,Goalkeeper,,,,
Michal Sadilek,Czechia,Midfielder,,,,
Mojmir Chytil,Czechia,Forward,,,,
Patrik Schick,Czechia,Forward,,,,
Pavel Sulc,Czechia,Midfielder,,,,
Robin Hranac,Czechia,Defender,,,,
Stepan CHaloupek,Czechia,Defender,,,,
Tomas Chory,Czechia,Forward,,,,
Tomas Holes,Czechia,Defender,,,,
Tomas Soucek,Czechia,Midfielder,,,,
Vladimir Coufal,Czechia,Defender,,,,
Vladimir Darida,Czechia,Midfielder,,,,
Aaron Tshibola,DR Congo,Midfielder,,,,
Aaron Wan-Bissaka,DR Congo,Defender,,,,
Arthur Masuaku,DR Congo,Defender,,,,
Axel Tuanzebe,DR Congo,Defender,,,,
Brian Cipenga,DR Congo,Midfielder,,,,
Cedric Bakambu,DR Congo,Forward,,,,
Chancel Mbemba,DR Congo,Midfielder,,,,
Charles Pickel,DR Congo,Midfielder,,,,
Dylan Batubinsika,DR Congo,Defender,,,,
Edo Kayembe,DR Congo,Midfielder,,,,
Fiston Mayele,DR Congo,Forward,,,,
Gael Kakuta,DR Congo,Midfielder,,,,
Gedeon Kalulu,DR Congo,Defender,,,,
Joris Kayembe,DR Congo,Defender,,,,
Lionel Mpasi,DR Congo,Goalkeeper,,,,
