player_name,team,position,age,nationality,club,photo_url
Ferdi Kadioglu,Türkiye,Midfielder,,,,
Hakan Calhanoglu,Türkiye,Midfielder,,,,
Irfan Can Kahveci,Türkiye,Midfielder,,,,
Ismail Yuksek,Türkiye,Midfielder,,,,
Kaan Ayhan,Türkiye,Midfielder,,,,
Kenan Yildiz,Türkiye,Forward,,,,
Kerem Akturkoglu,Türkiye,Forward,,,,
Merih Demiral,Türkiye,Defender,,,,
Mert Muldur,Türkiye,Defender,,,,
Oguz Aydin,Türkiye,Forward,,,,
Orkun Kokcu,Türkiye,Midfielder,,,,
Ozan Kabak,Türkiye,Defender,,,,
Salih Ozcan,Türkiye,Midfielder,,,,
Samet Akaydin,Türkiye,Defender,,,,
Ugurcan Cakır,Türkiye,Goalkeeper,,,,
Yunus Akgun,Türkiye,Forward,,,,
Zeki Celik,Türkiye,Defender,,,,
Alejandro Zendejas,USA,Midfielder,,,,
Alex Freeman,USA,Defender,,,,
Antonee Robinson,USA,Defender,,,,
Auston Trusty,USA,Defender,,,,
Brendon Aaronson,USA,Midfielder,,,,
Chris Brady,USA,Goalkeeper,,,,
Chris Richards,USA,Defender,,,,
Christian Pulisic,USA,Midfielder,,,,
Cristian Roldan,USA,Midfielder,,,,
Folarin Balogun,USA,Forward,,,,
Giovanni Reyna,USA,Midfielder,,,,
Haji Wright,USA,Forward,,,,
Joseph Scally,USA,Defender,,,,
Malik Tillman,USA,Midfielder,,,,
Mark McKenzie,USA,Defender,,,,
Matt Freese,USA,Goalkeeper,,,,
Matt Turner,USA,Goalkeeper,,,,
Max Arfsten,USA,Defender,,,,
Miles Robinson,USA,Midfielder,,,,
Ricardo Pepi,USA,Forward,,,,
Sebastian Berhalter,USA,Midfielder,,,,
Sergino Dest,USA,Defender,,,,
Tim Ream,USA,Defender,,,,
Timothy Weah,USA,Forward,,,,
Tyler Adams,USA,Midfielder,,,,
Weston McKennie,USA,Midfielder,,,,
Agustin Canobbio,Uruguay,Midfielder,,,,
Brian Rodriguez,Uruguay,Forward,,,,
Darwin Nunez,Uruguay,Forward,,,,
Emiliano Martinez,Uruguay,Midfielder,,,,
Facundo Pellistri,Uruguay,Midfielder,,,,
Federico Valverde,Uruguay,Midfielder,,,,
Federico Vinas,Uruguay,Forward,,,,
Fernando Muslera,Uruguay,Goalkeeper,,,,
Giorgian De Arrascaeta,Uruguay,Midfielder,,,,
Guillermo Varela,Uruguay,Defender,,,,
Joaquin Piquerez,Uruguay,Defender,,,,
Jose Maria Gimenez,Uruguay,Defender,,,,
Juan Manuel Sanabria,Uruguay,Midfielder,,,,
Manuel Ugarte,Uruguay,Midfielder,,,,
Mathias Olivera,Uruguay,Defender,,,,
Matias Vina,Uruguay,Defender,,,,
Maximiliano Araujo,Uruguay,Forward,,,,
Nicolas de la Cruz,Uruguay,Midfielder,,,,
Rodrigo Aguirre,Uruguay,Forward,,,,
Rodrigo Bentancur,Uruguay,Midfielder,,,,
Rodrigo Zalazar,Uruguay,Midfielder,,,,
Ronald Araujo,Uruguay,Defender,,,,
Santiago Bueno,Uruguay,Defender,,,,
Santiago Mele,Uruguay,Goalkeeper,,,,
Sebastian Caceras,Uruguay,Defender,,,,
Sergio Rochet,Uruguay,Goalkeeper,,,,
Abbosbek Fayzullaev,Uzbekistan,Midfielder,,,,
Abdulla Abdullaev,Uzbekistan,Defender,,,,
Abduqodir Khusanov,Uzbekistan,Defender,,,,
Abduvohid Nematov,Uzbekistan,Goalkeeper,,,,
Akmal Mozgovoy,Uzbekistan,Midfielder,,,,
Avazbek Ulmasaliev,Uzbekistan,Defender,,,,
Azizbek Amonov,Uzbekistan,Forward,,,,
Azizjon Ganiev,Uzbekistan,Midfielder,,,,
Bekhruz Karimov,Uzbekistan,Defender,,,,
Botirali Eregashev,Uzbekistan,Goalkeeper,,,,
Dostonbek Khamdamov,Uzbekistan,Midfielder,,,,
Eldor Shomurodov,Uzbekistan,Forward,,,,
Farrukh Sayfiev,Uzbekistan,Defender,,,,
Igor Sergeev,Uzbekistan,Forward,,,,
Jakhongir Urozov,Uzbekistan,Defender,,,,
Jamshid Iskanderov,Uzbekistan,Defender,,,,
Khoriakbar Alijonov,Uzbekistan,Defender,,,,
Odiljon Hamrobekov,Uzbekistan,Midfielder,,,,
Oston Uronov,Uzbekistan,Midfielder,,,,
Otabek Shukurov,Uzbekistan,Midfielder,,,,
Rushtam Ashurmatov,Uzbekistan,Defender,,,,
Ruslanbek Jiyanov,Uzbekistan,Forward,,,,
Sherzod Esanov,Uzbekistan,Midfielder,,,,
Sherzod Nasrullaev,Uzbekistan,Defender,,,,
Umar Eshmurodov,Uzbekistan,Defender,,,,
Utkir Yusupov,Uzbekistan,Goalkeeper,,,,
